# Рассчитаем доли топ 10 стран занимаемых в базе относительно других
 
 	country_lastfm	ratio
1	United States	0.12136148732064636
2	United Kingdom	0.06496968477654526
3	Japan	0.05845396932812686
4	Germany	0.056899342484293694
5	France	0.03927261753436183
6	Sweden	0.03278890910919882
7	Italy	0.025953123428226536
8	Russia	0.02430247551462721
9	Canada	0.024156157694031146
10	Finland	0.023319402657497417
